# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,901,293.3,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.8,skip
bcsstk04,132,COLAMD,3622,2.8,skip
bcsstk04,132,ND,3708,891.7,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,57.2,skip
Kuu,7102,AMD,406264,555.9,skip
Kuu,7102,COLAMD,830665,3730.0,skip
Kuu,7102,ND,1003293,12796.6,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.5,skip
bcsstk14,1806,AMD,116071,126.1,skip
bcsstk14,1806,COLAMD,146037,163.2,skip
bcsstk14,1806,ND,130358,5324.2,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,28.6,skip
s3rmt3m3,5357,AMD,474609,922.2,skip
s3rmt3m3,5357,COLAMD,607647,1174.8,skip
s3rmt3m3,5357,ND,483478,11002.4,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,134.6,skip
Pres_Poisson,14822,AMD,2668793,8407.5,skip
Pres_Poisson,14822,COLAMD,3415793,12978.9,skip
Pres_Poisson,14822,ND,2501876,20330.3,skip
